"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the system updates prices when changing currencies","8524","test_change_currency_dollar[chromium]","tests","Sat Aug 23 17:11:24 UTC 2025","passed","Sat Aug 23 17:11:32 UTC 2025","TestChangeCurrency","test_change_currency","",""
"Verify that a user can log in with valid credentials","19201","Successful login test","tests","Sat Aug 23 17:13:05 UTC 2025","passed","Sat Aug 23 17:13:24 UTC 2025","TestLogin","test_login","",""
"","0","test_remove_wish[chromium]","tests","Sat Aug 23 17:16:03 UTC 2025","passed","Sat Aug 23 17:16:03 UTC 2025","TestRemoveWishList","test_remove_wish_list","",""
"","19432","test_login[chromium]","tests","Sat Aug 23 17:15:00 UTC 2025","passed","Sat Aug 23 17:15:19 UTC 2025","TestRemoveFromCart","test_remove_from_cart","",""
"","7321","test_search_nikon[chromium-nikon]","tests","Sat Aug 23 17:10:31 UTC 2025","passed","Sat Aug 23 17:10:38 UTC 2025","TestCalc","test_calc","",""
"","7334","test_search_cellphone[chromium-cellphone]","tests","Sat Aug 23 17:17:07 UTC 2025","passed","Sat Aug 23 17:17:15 UTC 2025","TestSearch","test_serach","",""
"","8362","test_add_cart[chromium]","tests","Sat Aug 23 17:10:38 UTC 2025","passed","Sat Aug 23 17:10:46 UTC 2025","TestCalc","test_calc","",""
"","3173","test_wrong[chromium-Balloons]","tests","Sat Aug 23 17:14:52 UTC 2025","broken","Sat Aug 23 17:14:55 UTC 2025","TestNav","test_nav","",""
"","19029","test_user_login[chromium]","tests","Sat Aug 23 17:13:52 UTC 2025","passed","Sat Aug 23 17:14:11 UTC 2025","TestLogout","test_logout","",""
"Verify that login fails with an incorrect password","18997","Invalid password test","tests","Sat Aug 23 17:13:28 UTC 2025","passed","Sat Aug 23 17:13:47 UTC 2025","TestLogin","test_login","",""
"","8541","test_user_logout[chromium]","tests","Sat Aug 23 17:14:11 UTC 2025","passed","Sat Aug 23 17:14:20 UTC 2025","TestLogout","test_logout","",""
"","9386","test_tablet[chromium-Tablets]","tests","Sat Aug 23 17:14:33 UTC 2025","passed","Sat Aug 23 17:14:43 UTC 2025","TestNav","test_nav","",""
"Verify that the system updates prices when changing currencies","8603","test_change_currency_gpb[chromium]","tests","Sat Aug 23 17:11:15 UTC 2025","passed","Sat Aug 23 17:11:24 UTC 2025","TestChangeCurrency","test_change_currency","",""
"","21435","test_review[chromium-Shani-This camera changed my life! I can't believe how my life have been without it, thank you for the store and great service]","tests","Sat Aug 23 17:16:15 UTC 2025","passed","Sat Aug 23 17:16:36 UTC 2025","TestReview","test_review","",""
"","11064","test_wrong_coupon[chromium-SHANI]","tests","Sat Aug 23 17:12:01 UTC 2025","passed","Sat Aug 23 17:12:12 UTC 2025","TestSearchItem","test_coupon","",""
"","4029","test_remove_cart[chromium]","tests","Sat Aug 23 17:15:35 UTC 2025","passed","Sat Aug 23 17:15:39 UTC 2025","TestRemoveFromCart","test_remove_from_cart","",""
"","7310","test_search_touch[chromium-touch]","tests","Sat Aug 23 17:17:29 UTC 2025","passed","Sat Aug 23 17:17:37 UTC 2025","TestSearch","test_serach","",""
